time;real_x;predict_x;update_x;real_y;predict_y;update_y;real_phi;predict_phi;update_phi
120,3118;0,057072;0,1463203;0,07535772;0,03859568;0,07965771;0,02311274;81,11216;77,13226;80,98892
120,5209;0,057072;0,1463203;0,07535829;0,03859568;0,07965771;0,02311312;81,11216;77,13226;80,98892
120,7319;0,057072;0,1463203;0,07535782;0,03859568;0,07965771;0,02311281;81,11216;77,13226;80,98892
120,9605;0,057072;0,1463203;0,07535765;0,03859568;0,07965771;0,02311264;81,11216;77,13226;80,98892
121,1768;0,057072;0,1463203;0,07535827;0,03859568;0,07965771;0,02311298;81,11216;77,13226;80,98892
121,39;0,057072;0,1463203;0,075358;0,03859568;0,07965771;0,02311262;81,11216;77,13226;80,98892
121,6114;0,057072;0,1463203;0,07535841;0,03859568;0,07965771;0,02311304;81,11216;77,13226;80,98892
121,8294;0,057072;0,1463203;0,07535801;0,03859568;0,07965771;0,02311266;81,11216;77,13226;80,98892
122,0344;0,057072;0,1463203;0,07535844;0,03859568;0,07965771;0,02311306;81,11216;77,13226;80,98892
122,2623;0,057072;0,1463203;0,07535808;0,03859568;0,07965771;0,02311267;81,11216;77,13226;80,98892
122,4672;0,057072;0,1463203;0,07535855;0,03859568;0,07965771;0,02311304;81,11216;77,13226;80,98892
122,6936;0,057072;0,1463203;0,07535822;0,03859568;0,07965771;0,02311262;81,11216;77,13226;80,98892
122,8953;0,057072;0,1463203;0,07535872;0,03859568;0,07965771;0,02311298;81,11216;77,13226;80,98892
123,1029;0,057072;0,1463203;0,07535842;0,03859568;0,07965771;0,02311254;81,11216;77,13226;80,98892
123,3259;0,057072;0,1463203;0,07535809;0,03859568;0,07965771;0,02311244;81,11216;77,13226;80,98892
123,529;0,057072;0,1463203;0,0753585;0,03859568;0,07965771;0,02311286;81,11216;77,13226;80,98892
123,7503;0,057072;0,1463203;0,0753581;0,03859568;0,07965771;0,02311249;81,11216;77,13226;80,98892
123,9526;0,057072;0,1463203;0,07535867;0,03859568;0,07965771;0,02311279;81,11216;77,13226;80,98892
124,1797;0,057072;0,1463203;0,07535831;0,03859568;0,07965771;0,02311239;81,11216;77,13226;80,98892
124,4018;0,057072;0,1463203;0,07535838;0,03859568;0,07965771;0,02311261;81,11216;77,13226;80,98892
124,6231;0,057072;0,1463203;0,07535814;0,03859568;0,07965771;0,02311245;81,11216;77,13226;80,98892
124,834;0,057072;0,1463203;0,07535863;0,03859568;0,07965771;0,0231128;81,11216;77,13226;80,98892
125,0384;0,057072;0,1463203;0,07535832;0,03859568;0,07965771;0,02311237;81,11216;77,13226;80,98892
125,2401;0,057072;0,1463203;0,07535846;0,03859568;0,07965771;0,02311254;81,11216;77,13226;80,98892
125,4533;0,057072;0,1463203;0,07535827;0,03859568;0,07965771;0,02311233;81,11216;77,13226;80,98892
125,6771;0,057072;0,1463203;0,07535882;0,03859568;0,07965771;0,02311265;81,11216;77,13226;80,98892
125,8992;0,057072;0,1463203;0,07535833;0,03859568;0,07965771;0,02311227;81,11216;77,13226;80,98892
126,12;0,057072;0,1463203;0,07535852;0,03859568;0,07965771;0,0231124;81,11216;77,13226;80,98892
126,3205;0,057072;0,1463203;0,07535873;0,03859568;0,07965771;0,02311252;81,11216;77,13226;80,98892
126,8275;0,057072;0,1463203;0,07535861;0,03859568;0,07965771;0,02311226;81,11216;77,13226;80,98892
127,0464;0,057072;0,1463203;0,07646284;0,03859568;0,07965771;0,02434689;81,11216;77,13226;81,00336
