time;real_x;real_y;real_phi;predict_x;predict_y;predict_phi;update_x;update_y;update_phi
4,19254;-24,9588;15,6201;91,06934; -25;15,62087;90,00001; -24,97502;15,62581;90,69204
4,225501;-24,95978;15,60338;91,01279; -25;15,60439;90,00001; -24,98959;15,60151;90,84738
4,251455;-24,95963;15,58967;90,9324; -25;15,59141;90,00001; -24,98659;15,60658;90,89626
4,283499;-24,95875;15,57118;90,98563; -25;15,57539;90,00001; -24,9758;15,58925;90,72581
4,315165;-24,9581;15,55597;90,92001; -25;15,55956;90,00001; -24,97988;15,56141;90,5886
4,341157;-24,95773;15,54377;90,89514; -25;15,54656;90,00001; -24,97567;15,54244;90,53374
4,372562;-24,95694;15,52815;90,82364; -25;15,53086;90,00001; -24,98607;15,52459;90,55844
4,398578;-24,95905;15,51639;90,74174; -25;15,51785;90,00001; -24,9817;15,53343;90,57002
4,423945;-24,96104;15,50198;90,67849; -25;15,50517;90,00001; -24,98434;15,52903;90,71111
4,46235;-24,9607;15,48417;90,64352; -25;15,48597;90,00001; -24,97995;15,49556;90,34206
4,497799;-24,95974;15,46489;90,50211; -25;15,46824;90,00001; -24,97478;15,48867;90,29857
4,522641;-24,9589;15,45252;90,50489; -25;15,45582;90,00001; -24,97401;15,47803;90,39774
4,553419;-24,95759;15,4363;90,58571; -25;15,44043;90,00001; -24,97386;15,46398;90,4123
4,579045;-24,95752;15,42297;90,57997; -25;15,42762;90,00001; -24,97529;15,45472;90,41173
4,608066;-24,9586;15,40801;90,42648; -25;15,41311;90,00001; -24,97349;15,41999;90,13114
4,634144;-24,95776;15,39575;90,5839; -25;15,40007;90,00001; -24,98676;15,41017;90,21103
4,666335;-24,95683;15,38081;90,62133; -25;15,38398;90,00001; -24,98528;15,39889;90,21797
4,692744;-24,95671;15,36632;90,68141; -25;15,37077;90,00001; -24,98182;15,38273;90,33908
4,72362;-24,9575;15,35046;90,65936; -25;15,35533;90,00001; -24,97988;15,35735;90,2595
4,749522;-24,95736;15,3382;90,55235; -25;15,34238;90,00001; -24,97529;15,3538;90,21761
4,77483;-24,95773;15,32602;90,51691; -25;15,32973;90,00001; -24,97601;15,34344;90,32263
4,806787;-24,95859;15,30873;90,61428; -25;15,31375;90,00001; -24,97689;15,31683;90,27346
4,835789;-24,96116;15,29168;90,72133; -25;15,29925;90,00001; -24,98113;15,29505;90,37976
4,868292;-24,96232;15,27325;90,60429; -25;15,283;90,00001; -24,98261;15,28173;90,29324
4,89497;-24,96226;15,26042;90,63652; -25;15,26966;90,00001; -24,98376;15,2669;90,39061
4,927635;-24,96191;15,24334;90,55407; -25;15,25333;90,00001; -24,97879;15,23192;90,23199
4,953935;-24,96086;15,22971;90,57893; -25;15,24018;90,00001; -24,97738;15,21303;90,16595
4,987231;-24,96076;15,21373;90,7233; -25;15,22353;90,00001; -24,97067;15,21757;90,35769
5,016247;-24,96;15,20016;90,66885; -25;15,20902;90,00001; -24,97021;15,21822;90,42757
5,049566;-24,96012;15,18461;90,72215; -25;15,19236;90,00001; -24,9717;15,20606;90,56005
5,075337;-24,95948;15,17255;90,57609; -25;15,17947;90,00001; -24,97551;15,18598;90,35479
5,107814;-24,96039;15,15698;90,60019; -25;15,16324;90,00001; -24,9783;15,17079;90,29403
5,134865;-24,96018;15,14388;90,41531; -25;15,14971;90,00001; -24,97033;15,16949;90,20065
5,1663;-24,95889;15,12924;90,33424; -25;15,13399;90,00001; -24,97517;15,14975;89,99908
5,198492;-24,95815;15,11433;90,27977; -25;15,1179;90,00001; -24,97771;15,12677;89,93599
5,224887;-24,95877;15,10145;90,12388; -25;15,1047;90,00001; -24,99277;15,10706;89,95159
5,256869;-24,95819;15,08554;89,8876; -25;15,08871;90,00001; -24,98397;15,09009;89,67185
5,283386;-24,95895;15,07101;89,76606; -25;15,07545;90,00001; -24,97962;15,07969;89,4593
5,316908;-24,95812;15,05441;89,70486; -25;15,05869;90,00001; -24,98153;15,05769;89,43367
5,344338;-24,95639;15,03894;89,77267; -25;15,04498;90,00001; -24,98182;15,04563;89,41512
5,376915;-24,95381;15,02277;89,63254; -25;15,02869;90,00001; -24,97563;15,02932;89,25092
5,403365;-24,95374;15,00907;89,73975; -25;15,01546;90,00001; -24,97291;15,00839;89,30458
5,429883;-24,9531;14,99338;89,74242; -25;15,0022;90,00001; -24,98117;14,99759;89,24125
5,461535;-24,95339;14,97786;89,78236; -25;14,98638;90,00001; -24,97685;14,97845;89,32398
5,488861;-24,95538;14,96601;89,76084; -25;14,97272;90,00001; -24,97392;14,96757;89,35048
5,523121;-24,9558;14,94751;89,82187; -25;14,95559;90,00001; -24,97854;14,9543;89,37341
5,548938;-24,95459;14,93437;89,90244; -25;14,94268;90,00001; -24,98058;14,93844;89,50326
5,581054;-24,95449;14,91853;89,99061; -25;14,92662;90,00001; -24,98282;14,92449;89,54807
5,606369;-24,95524;14,90446;90,09298; -25;14,91396;90,00001; -24,98328;14,90872;89,68396
5,633168;-24,9552;14,89042;89,90025; -25;14,90056;90,00001; -24,98116;14,89381;89,61453
5,664955;-24,95604;14,87346;89,7934; -25;14,88467;90,00001; -24,97698;14,87943;89,32639
5,694786;-24,95454;14,85826;89,76084; -25;14,86975;90,00001; -24,97314;14,8623;89,35376
5,730873;-24,95551;14,84038;89,75835; -25;14,85171;90,00001; -24,98364;14,84246;89,38892
5,758022;-24,95475;14,82646;89,80389; -25;14,83813;90,00001; -24,99179;14,82091;89,52702
5,784828;-24,95589;14,8134;89,91487; -25;14,82473;90,00001; -24,99324;14,80795;89,56473
5,825079;-24,95798;14,7938;89,78004; -25;14,80461;90,00001; -24,98781;14,79928;89,50296
5,854621;-24,95961;14,77906;89,79209; -25;14,78983;90,00001; -24,99482;14,78975;89,44162
5,885054;-24,95857;14,76265;89,84488; -25;14,77462;90,00001; -24,98865;14,78097;89,40168
5,911871;-24,95899;14,74784;89,91496; -25;14,76121;90,00001; -24,985;14,76702;89,5114
5,943288;-24,95917;14,73149;89,89088; -25;14,7455;90,00001; -24,97804;14,74807;89,41556
5,969101;-24,9585;14,72057;89,97334; -25;14,73259;90,00001; -24,975;14,72892;89,51014
5,999448;-24,95726;14,70393;89,93935; -25;14,71742;90,00001; -24,98523;14,70804;89,56262
6,028464;-24,95887;14,68945;89,99651; -25;14,70291;90,00001; -24,99342;14,68436;89,70425
6,059665;-24,95663;14,67275;89,93443; -25;14,68731;90,00001; -24,98779;14,68123;89,69259
6,085943;-24,95594;14,66047;90,02585; -25;14,67417;90,00001; -24,98149;14,67042;89,67175
6,118837;-24,95369;14,64666;90,01836; -25;14,65773;90,00001; -24,97877;14,65581;89,74493
6,144681;-24,95307;14,63331;89,74289; -25;14,6448;90,00001; -24,97988;14,63513;89,4923
6,174463;-24,95395;14,61731;89,56763; -25;14,62991;90,00001; -24,97688;14,61446;89,31185
6,203676;-24,95515;14,60259;89,482; -25;14,61531;90,00001; -24,97769;14,60835;89,11738
6,235347;-24,955;14,58645;89,29349; -25;14,59947;90,00001; -24,98405;14,58983;88,93947
6,261613;-24,95422;14,57357;89,21928; -25;14,58634;90,00001; -24,97988;14,57699;88,9357
6,294688;-24,95375;14,55711;89,38217; -25;14,5698;90,00001; -24,97775;14,57427;88,98067
6,320852;-24,95479;14,54307;89,59932; -25;14,55672;90,00001; -24,98255;14,55142;89,13607
6,353275;-24,95377;14,52566;89,70686; -25;14,54051;90,00001; -24,98401;14,52524;89,30641
6,382034;-24,95315;14,51322;89,78067; -25;14,52613;90,00001; -24,98511;14,50882;89,36182
6,414474;-24,95254;14,49758;89,82185; -25;14,50991;90,00001; -24,99002;14,48496;89,50741
6,440115;-24,95287;14,4849;89,95164; -25;14,49709;90,00001; -24,98853;14,47377;89,54681
6,473451;-24,95301;14,46805;89,91449; -25;14,48042;90,00001; -24,98071;14,46173;89,45113
6,499128;-24,9535;14,4553;89,95963; -25;14,46758;90,00001; -24,97813;14,4495;89,53596
6,53198;-24,95514;14,43984;89,86438; -25;14,45115;90,00001; -24,9787;14,44129;89,43484
6,561156;-24,95569;14,42588;89,81177; -25;14,43657;90,00001; -24,97967;14,43863;89,40182
6,588255;-24,95418;14,41342;89,82753; -25;14,42302;90,00001; -24,98004;14,42841;89,51233
6,619964;-24,95563;14,39601;89,82362; -25;14,40716;90,00001; -24,98466;14,40535;89,43085
6,646961;-24,95468;14,38334;89,80218; -25;14,39367;90,00001; -24,97926;14,38692;89,47714
6,679106;-24,95557;14,37061;89,74581; -25;14,37759;90,00001; -24,98265;14,38011;89,37638
6,713324;-24,95507;14,35397;89,83365; -25;14,36048;90,00001; -24,97856;14,36623;89,3207
6,745521;-24,95385;14,33719;89,83007; -25;14,34439;90,00001; -24,97811;14,35254;89,41846
6,772218;-24,95388;14,32371;89,8089; -25;14,33104;90,00001; -24,9783;14,3418;89,39665
6,804767;-24,95312;14,30865;89,84679; -25;14,31476;90,00001; -24,97783;14,32483;89,51086
6,830741;-24,95301;14,29582;89,76496; -25;14,30177;90,00001; -24,98693;14,31009;89,55828
6,859406;-24,9535;14,28207;89,64697; -25;14,28744;90,00001; -24,98034;14,28837;89,19653
6,890847;-24,95432;14,26683;89,62369; -25;14,27172;90,00001; -24,97763;14,27214;89,06965
6,918293;-24,95435;14,25391;89,55293; -25;14,258;90,00001; -24,97868;14,2611;89,16593
6,950448;-24,95382;14,23959;89,58571; -25;14,24192;90,00001; -24,97902;14,25261;89,19625
6,976694;-24,95579;14,22575;89,5505; -25;14,2288;90,00001; -24,98529;14,24583;89,2115
7,009818;-24,9552;14,20992;89,58246; -25;14,21224;90,00001; -24,99234;14,22637;89,33917
7,03957;-24,95524;14,19558;89,577; -25;14,19736;90,00001; -25,00414;14,1996;89,13891
7,075964;-24,95575;14,17866;89,50094; -25;14,17916;90,00001; -24,9897;14,17381;89,09978
7,116146;-24,95508;14,15823;89,53744; -25;14,15907;90,00001; -24,98374;14,15696;89,07965
7,14292;-24,95506;14,14491;89,36458; -25;14,14569;90,00001; -24,98584;14,15465;89,05446
7,173734;-24,95702;14,13128;89,34097; -25;14,13028;90,00001; -24,9965;14,13759;89,14513
7,203982;-24,95879;14,11681;89,46156; -25;14,11515;90,00001; -24,9987;14,12863;89,19585
7,236426;-24,958;14,09897;89,37403; -25;14,09893;90,00001; -24,98873;14,106;89,00886
7,263007;-24,95917;14,08579;89,12683; -25;14,08564;90,00001; -24,98626;14,09601;88,90504
7,291729;-24,95827;14,07091;89,17648; -25;14,07128;90,00001; -24,98531;14,08866;88,87581
7,324915;-24,95956;14,05243;89,00815; -25;14,05469;90,00001; -24,98157;14,06501;88,57777
7,351294;-24,95953;14,03932;88,89103; -25;14,0415;90,00001; -24,98508;14,06008;88,61058
